audit_title,physical_cell_id,stage_id,threshold_reference,available_capacity_fields,cycle_index_fields,last_above_cycle,first_at_or_below_cycle,censoring_class,audit_status,evidence_paths,impact,minimal_next_step
用户风险接受的候选数据审计,1,soh100_to_80,NOT_VERIFIABLE: no authoritative per-cell SOH80 capacity-reference field in raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present inside tester files; RPT filename index is not a physical aging-cycle field,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/0.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/1. LOW C@ 25°C #1/6.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/0.033C RPT Data/1. LOW C@ 25°C #1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/1. CYC1-100_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/2. CYC101-200_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/3. CYC201-300_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/4. CYC301-350_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/5. CYC351-425_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/1. LOW C@ 25°C #1/6. CYC426-465_0.5C @25°C.csv,No observed/right/left label may be emitted; RPT-to-physical-cycle alignment and threshold reference are unproven.,Provide authoritative protocol evidence binding each RPT to physical aging cycle and defining SOH80 reference/capacity step.
用户风险接受的候选数据审计,1,soh80_to_60,NOT_VERIFIABLE: no authoritative SOH60 capacity-reference/standardized checkpoint field in After-SOH80 raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present; stage-relative physical meaning is not accompanied by threshold-reference provenance,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/After SOH80 Data/1. CYCLE_after_SOH80_LOW C@ 25°C #1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,No observed/right/left label may be emitted; continuous cycle capacity cannot substitute for the defined SOH60 checkpoint without protocol evidence.,Provide authoritative second-stage protocol and exact capacity-reference/checkpoint mapping; then re-audit adjacent above/below observations.
用户风险接受的候选数据审计,2,soh100_to_80,NOT_VERIFIABLE: no authoritative per-cell SOH80 capacity-reference field in raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present inside tester files; RPT filename index is not a physical aging-cycle field,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/0.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/2. LOW C@ 25°C #2/6.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/0.033C RPT Data/2. LOW C@ 25°C #2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/1. CYC1-100_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/2. CYC101-200_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/3. CYC201-300_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/4. CYC301-350_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/5. CYC351-425_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/2. LOW C@ 25°C #2/6. CYC426-465_0.5C @25°C.csv,No observed/right/left label may be emitted; RPT-to-physical-cycle alignment and threshold reference are unproven.,Provide authoritative protocol evidence binding each RPT to physical aging cycle and defining SOH80 reference/capacity step.
用户风险接受的候选数据审计,2,soh80_to_60,NOT_VERIFIABLE: no authoritative SOH60 capacity-reference/standardized checkpoint field in After-SOH80 raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present; stage-relative physical meaning is not accompanied by threshold-reference provenance,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/After SOH80 Data/2. CYCLE_after_SOH80_LOW C@ 25°C #2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,No observed/right/left label may be emitted; continuous cycle capacity cannot substitute for the defined SOH60 checkpoint without protocol evidence.,Provide authoritative second-stage protocol and exact capacity-reference/checkpoint mapping; then re-audit adjacent above/below observations.
用户风险接受的候选数据审计,3,soh100_to_80,NOT_VERIFIABLE: no authoritative per-cell SOH80 capacity-reference field in raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present inside tester files; RPT filename index is not a physical aging-cycle field,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/0.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/3. LOW C@ 25°C #3/6.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/0.033C RPT Data/3. LOW C@ 25°C #3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/1. CYC1-100_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/2. CYC101-200_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/3. CYC201-300_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/4. CYC301-350_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/5. CYC351-425_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/3. LOW C@ 25°C #3/6. CYC426-465_0.5C @25°C.csv,No observed/right/left label may be emitted; RPT-to-physical-cycle alignment and threshold reference are unproven.,Provide authoritative protocol evidence binding each RPT to physical aging cycle and defining SOH80 reference/capacity step.
用户风险接受的候选数据审计,3,soh80_to_60,NOT_VERIFIABLE: no authoritative SOH60 capacity-reference/standardized checkpoint field in After-SOH80 raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present; stage-relative physical meaning is not accompanied by threshold-reference provenance,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/After SOH80 Data/3. CYCLE_after_SOH80_LOW C@ 25°C #3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,No observed/right/left label may be emitted; continuous cycle capacity cannot substitute for the defined SOH60 checkpoint without protocol evidence.,Provide authoritative second-stage protocol and exact capacity-reference/checkpoint mapping; then re-audit adjacent above/below observations.
用户风险接受的候选数据审计,4,soh100_to_80,NOT_VERIFIABLE: no authoritative per-cell SOH80 capacity-reference field in raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present inside tester files; RPT filename index is not a physical aging-cycle field,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/0.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/4. LOW C@ 25°C #4/6.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/0.033C RPT Data/4. LOW C@ 25°C #4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/1. CYC1-100_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/2. CYC101-200_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/3. CYC201-300_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/4. CYC301-350_0.5C @25°.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/5. CYC351-425_0.5C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/4. LOW C@ 25°C #4/6. CYC426-465_0.5C @25°C.csv,No observed/right/left label may be emitted; RPT-to-physical-cycle alignment and threshold reference are unproven.,Provide authoritative protocol evidence binding each RPT to physical aging cycle and defining SOH80 reference/capacity step.
用户风险接受的候选数据审计,4,soh80_to_60,NOT_VERIFIABLE: no authoritative SOH60 capacity-reference/standardized checkpoint field in After-SOH80 raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present; stage-relative physical meaning is not accompanied by threshold-reference provenance,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/After SOH80 Data/4. CYCLE_after_SOH80_LOW C@ 25°C #4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,No observed/right/left label may be emitted; continuous cycle capacity cannot substitute for the defined SOH60 checkpoint without protocol evidence.,Provide authoritative second-stage protocol and exact capacity-reference/checkpoint mapping; then re-audit adjacent above/below observations.
用户风险接受的候选数据审计,5,soh100_to_80,NOT_VERIFIABLE: no authoritative per-cell SOH80 capacity-reference field in raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present inside tester files; RPT filename index is not a physical aging-cycle field,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/0.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/1.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/2.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/3.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/4.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/RPT Data/5. LOW C@ 25°C #5/5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/0.033C RPT Data/5. LOW C@ 25°C #5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/5. LOW C@ 25°C #5/1. CYC1-100_1C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/5. LOW C@ 25°C #5/2. CYC101-200_1C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/5. LOW C@ 25°C #5/3. CYC201-300_1C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/5. LOW C@ 25°C #5/4. CYC301-400_1C @25°C.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/Cycle Data/5. LOW C@ 25°C #5/5. CYC401-435_1C @25°C.csv,No observed/right/left label may be emitted; RPT-to-physical-cycle alignment and threshold reference are unproven.,Provide authoritative protocol evidence binding each RPT to physical aging cycle and defining SOH80 reference/capacity step.
用户风险接受的候选数据审计,5,soh80_to_60,NOT_VERIFIABLE: no authoritative SOH60 capacity-reference/standardized checkpoint field in After-SOH80 raw CSV headers,Capacity(Ah)|Capa. Sum(Ah)|Char. Cap.(Ah)|Dischar. Cap.(Ah),CurCycle|TotCycle present; stage-relative physical meaning is not accompanied by threshold-reference provenance,,,invalid_protocol,NOT_VERIFIABLE,/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/After SOH80 Data/5. CYCLE_after_SOH80_LOW C@ 25°C #5.csv|/Users/wanghaoming/Public/SOC电池数据中心/SOC电池数据中心/Battery raw data/2nd_lifetime.xlsx,No observed/right/left label may be emitted; continuous cycle capacity cannot substitute for the defined SOH60 checkpoint without protocol evidence.,Provide authoritative second-stage protocol and exact capacity-reference/checkpoint mapping; then re-audit adjacent above/below observations.
